title,content,fact_check_url,news_url,label
Wisconsin is Òclearly seeing a decline in COVID infectionsÓ.,speaker robin vos r rochester and senate majority leader scott fitzgerald r juneau released the following statement after filing an original action in the wisconsin state supreme court challenging the governors extension of the safer at home order through may 26th. the public outcry over the safer at home order continues to increase as positive covid cases decrease or remain flat. there s immense frustration regarding the extension as it goes beyond the executive branchs statutory power. ,https://www.politifact.com/factchecks/2020/apr/21/wisconsin-republican-legislative-leaders/no-wisconsin-not-clearly-seeing-decline-covid-case/,http://legis.wisconsin.gov/assembly/republicans/news/wisconsin-legislature-takes-gov-evers-to-court/,0
Says WisconsinÕs in-person election has caused a ÒsurgeÓ in new coronavirus cases,this is not the page you 're looking for .. ,https://www.politifact.com/factchecks/2020/apr/21/facebook-posts/no-proof-yet-post-election-surge-coronavirus-cases/,https://secondnexus.com/wisconsin-gop-new-cases-election?fbclid=IwAR0OMqD8AioITlKpuSszaf4kmxG38s0yE26wBW-6H4C5Iu4R3ZsYlljlXxA,0
Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).,contrary to the narrative that is being pushed by the mainstream that the covid 19 virus was the result of a natural mutation and that it was transmitted to humans from bats via pangolins dr luc montagnier the man who discovered the hiv virus back in 1983 disagrees and is saying that the virus was man made. follow up luc montagnier insists that the virus came out of a lab in follow up interview read also in line with remdesivir chloroquine and azithromycin might also shorten hospital stays. ,https://healthfeedback.org/claimreview/claim-by-nobel-laureate-luc-montagnier-that-the-novel-coronavirus-is-man-made-and-contains-genetic-material-from-hiv-is-inaccurate/,https://www.gilmorehealth.com/chinese-coronavirus-is-a-man-made-virus-according-to-luc-montagnier-the-man-who-discovered-hiv/,0
A video argues that the pandemic could have resulted from the accidental or intentional release of either a natural virus under study or an artificial virus that was bioengineered (manmade).,"programming alert exclusive documentary on origin of the ccp virus premieres the first documentary movie on the origin of ccp virus tracking down the origin of the wuhan coronavirus will premiere tonight on several youtube and facebook channels. the ccp virus which originated from china has rampaged through the world and caused more than 80,000 deaths infecting at least 1.4 million. the true number of deaths and infections is unknown due to the underreporting of cases from mainland chin. ",https://healthfeedback.org/viral-video-promotes-the-unsupported-hypothesis-that-sars-cov-2-is-a-bioengineered-virus-released-from-a-wuhan-research-laboratory/,https://www.theepochtimes.com/programming-alert-exclusive-documentary-on-origin-of-the-ccp-virus-premieres_3302336.html,0
"Gov. Andrew Cuomo Òwas simply saying if we can share 20 percent of your excess, your non-used ventilators, to help people in other parts of the state on a voluntary basis, that would be great. Of course, there was a reaction to that, which was not positive.Ó",buffalo n.y. wivb)--mayor byron brown was handing out masks at the kenfield langfield development saturday.the mayor says the city has enough masks to make sure anyone living in buffalo municipal housing authority is protected. he added that with warmer weather on its way and people headed outside keeping your face covered is important. ,https://www.politifact.com/factchecks/2020/apr/14/kathy-hochul/hochul-rewrites-history-ventilator-claim/,https://www.wivb.com/news/watch-interview-with-lt-gov-kathy-hochul/,0
ÒMichigan Governor Gretchen Whitmer bans buying US flags during lockdown.Ó,gateway pundit crazed democrat michigan governor gretchen whitmer prohibited big box retailers from in person sale of seeds because according to her food is non essential. crisis gardens or victory gardens were always encouraged during a time of war or a time of crisis to supplement rations and boost morale. but the tyrannical governor of michigan barred grocery stores and brick and mortar retailers from selling vegetable seeds. in late march michigan democrat governor gretchen whitm. ,https://www.politifact.com/factchecks/2020/apr/14/facebook-posts/michiganders-arent-banned-buying-american-flags/,https://www.teaparty.org/and-there-it-is-michigan-governor-gretchen-whitmer-bans-buying-us-flags-during-lockdown-435432/,0
"ÒThe president looks like he was ahead of the curve Ð as you know, he talks about this all the time Ð on shutting down travel from China.Ó",on monday morning president donald trump tweeted for the purpose of creating conflict and confusion some in the fake news media are saying that it is the governors decision to open up the states not that of the president of the united states the federal government. let it be fully understood that this is incorrect he continued. it is the decision of the president and for many good reasons. with that being said the administration and i are working closely with the governors and th. ,https://www.politifact.com/factchecks/2020/apr/14/rick-santorum/rick-santorum-said-trump-was-ahead-curve-china-tra/,https://www.thedailybeast.com/rick-santorum-admits-trump-cant-force-governors-to-reopen-states?via=twitter_page,0
Trump says that as president he has ÒtotalÓ authority to re-open states amid the COVID-19 pandemic.,donald trump 11:23 thank you very much everyone. before i begin i d like to offer my condolences and best wishes to the people all across our great south who have endured deadly tornadoes and other severe weather in texas louisiana mississippi alabama florida georgia tennessee and south carolina. donald trump 11:42 my administration will do everything possible to help those communities get back on their feet. were speaking with their governors and representatives. femas alr. ,https://www.politifact.com/factchecks/2020/apr/14/donald-trump/trumps-ridiculous-statement-about-total-authority-/,https://www.rev.com/blog/transcripts/donald-trump-coronavirus-press-conference-transcript-april-13,0
Michigan Gov. Gretchen Whitmer banned sale of American flags during COVID-19 pandemic.,crazed democrat michigan governor gretchen whitmer prohibited big box retailers from in person sale of seeds because according to her food is non essential. crisis gardens or victory gardens were always encouraged during a time of war or a time of crisis to supplement rations and boost morale. but the tyrannical governor of michigan barred grocery stores and brick and mortar retailers from selling vegetable seeds. in late march michigan democrat governor gretchen whitmer limited access o. ,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Michigan-Governor-Did-NOT-Ban-Sale-Of-American-Flags-During-Coronavirus-Outbreak.html,https://therepublicpost.wordpress.com/2020/04/12/michigan-governor-gretchen-whitmer-bans-buying-us-flags-during-lockdown/?fbclid=IwAR3mlaBlD3iHO7hnVYAPSBNP2hz_pQhOGt1rkyeuIpO2OvNO4BdOd5-rg48,0
Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,america is getting a real glimpse of life under left wing democrat rule. frightening. this is the same left wing nut who banned hydroxychloroquine despite its unquestionable efficacy in treating coronavirus. related trump deranged michigan gov. whitmer reverses ban on hydroxychloroquine and chloroquin now begging for it michigan democratic governor gretchen whitmers latest executive order deems a number of home improvement and gardening items including fruit and vegetable seeds non es. ,https://www.politifact.com/factchecks/2020/apr/15/facebook-posts/covid-order-doesnt-ban-gardening-or-sale-seeds-and/,https://gellerreport.com/2020/04/michigan-governor-bans-gardening-sale-of-fruit-and-vegetable-seeds-gardening-supplies-prohibited.html/?fbclid=IwAR0VmAZksMObLgXaNlKo38TIzRmPYdIDfF8wxBzb805vL5wxww9Ie2f8w5o,0
